Region,регіон, рік,кількість,тип
Ukraine,Україна,2010,8.3,сільське господарство
Ukraine,Україна,2017,12.1,сільське господарство
Vinnyts'ka oblast',Вінницька,2010,21.6,сільське господарство
Vinnyts'ka oblast',Вінницька,2017,28.1,сільське господарство
Volyns'ka oblast',Волинська,2010,16.9,сільське господарство
Volyns'ka oblast',Волинська,2017,17.2,сільське господарство
Dnipropetrovs'ka oblast',Дніпропетровська,2010,4.7,сільське господарство
Dnipropetrovs'ka oblast',Дніпропетровська,2017,7.3,сільське господарство
Donets'ka oblast',Донецька,2010,3.8,сільське господарство
Donets'ka oblast',Донецька,2017,7.2,сільське господарство
Zhytomyrs'ka oblast',Житомирська,2010,16.3,сільське господарство
Zhytomyrs'ka oblast',Житомирська,2017,23.5,сільське господарство
Zakarpats'ka oblast',Закарпатська,2010,13.4,сільське господарство
Zakarpats'ka oblast',Закарпатська,2017,15.2,сільське господарство
Zaporiz'ka oblast',Запорізька,2010,9,сільське господарство
Zaporiz'ka oblast',Запорізька,2017,12,сільське господарство
Ivano-Frankivs'ka oblast',Івано-Франківська,2010,12.7,сільське господарство
Ivano-Frankivs'ka oblast',Івано-Франківська,2017,14.4,сільське господарство
Kyivs'ka oblast',Київська,2010,13.5,сільське господарство
Kyivs'ka oblast',Київська,2017,14.3,сільське господарство
Kirovohrads'ka oblast',Кіровоградська,2010,19.8,сільське господарство
Kirovohrads'ka oblast',Кіровоградська,2017,31.3,сільське господарство
Luhans'ka oblast',Луганська,2010,5,сільське господарство
Luhans'ka oblast',Луганська,2017,21.3,сільське господарство
L'vivs'ka oblast',Львівська,2010,9.6,сільське господарство
L'vivs'ka oblast',Львівська,2017,9.6,сільське господарство
Mykolaivs'ka oblast',Миколаївська,2010,15.9,сільське господарство
Mykolaivs'ka oblast',Миколаївська,2017,21.9,сільське господарство
Odes'ka oblast',Одеська,2010,7.7,сільське господарство
Odes'ka oblast',Одеська,2017,11.5,сільське господарство
Poltavs'ka oblast',Полтавська,2010,12.9,сільське господарство
Poltavs'ka oblast',Полтавська,2017,14.3,сільське господарство
Rivnens'ka oblast',Рівненська,2010,15.9,сільське господарство
Rivnens'ka oblast',Рівненська,2017,19.9,сільське господарство
Sums'ka oblast',Сумська,2010,13.5,сільське господарство
Sums'ka oblast',Сумська,2017,26.1,сільське господарство
Ternopil's'ka oblast',Тернопільська,2010,19.4,сільське господарство
Ternopil's'ka oblast',Тернопільська,2017,28.1,сільське господарство
Kharkivs'ka oblast',Харківська,2010,6.4,сільське господарство
Kharkivs'ka oblast',Харківська,2017,11.1,сільське господарство
Khersons'ka oblast',Херсонська,2010,23.7,сільське господарство
Khersons'ka oblast',Херсонська,2017,33,сільське господарство
Khmel'nyts'ka oblast',Хмельницька,2010,18.4,сільське господарство
Khmel'nyts'ka oblast',Хмельницька,2017,31.1,сільське господарство
Cherkas'ka oblast',Черкаська,2010,19.6,сільське господарство
Cherkas'ka oblast',Черкаська,2017,21.8,сільське господарство
Chernihivs'ka oblast',Чернівецька,2010,18.7,сільське господарство
Chernihivs'ka oblast',Чернівецька,2017,22.3,сільське господарство
Chernivets'ka oblast',Чернігівська,2010,18.3,сільське господарство
Chernivets'ka oblast',Чернігівська,2017,28.2,сільське господарство
Misto Kyiv,м.Київ,2010,0,сільське господарство
Misto Kyiv,м.Київ,2017,0,сільське господарство
Ukraine,Україна,2010,25.9,промисловість
Ukraine,Україна,2017,25.2,промисловість
Vinnyts'ka oblast',Вінницька,2010,19.3,промисловість
Vinnyts'ka oblast',Вінницька,2017,21.4,промисловість
Volyns'ka oblast',Волинська,2010,15.6,промисловість
Volyns'ka oblast',Волинська,2017,15.4,промисловість
Dnipropetrovs'ka oblast',Дніпропетровська,2010,47.7,промисловість
Dnipropetrovs'ka oblast',Дніпропетровська,2017,48.2,промисловість
Donets'ka oblast',Донецька,2010,45.8,промисловість
Donets'ka oblast',Донецька,2017,49.9,промисловість
Zhytomyrs'ka oblast',Житомирська,2010,21.5,промисловість
Zhytomyrs'ka oblast',Житомирська,2017,19,промисловість
Zakarpats'ka oblast',Закарпатська,2010,19,промисловість
Zakarpats'ka oblast',Закарпатська,2017,15.1,промисловість
Zaporiz'ka oblast',Запорізька,2010,38.6,промисловість
Zaporiz'ka oblast',Запорізька,2017,42.4,промисловість
Ivano-Frankivs'ka oblast',Івано-Франківська,2010,24.1,промисловість
Ivano-Frankivs'ka oblast',Івано-Франківська,2017,28,промисловість
Kyivs'ka oblast',Київська,2010,18.2,промисловість
Kyivs'ka oblast',Київська,2017,21.5,промисловість
Kirovohrads'ka oblast',Кіровоградська,2010,22.8,промисловість
Kirovohrads'ka oblast',Кіровоградська,2017,19.1,промисловість
Luhans'ka oblast',Луганська,2010,51,промисловість
Luhans'ka oblast',Луганська,2017,23.1,промисловість
L'vivs'ka oblast',Львівська,2010,17.4,промисловість
L'vivs'ka oblast',Львівська,2017,22.9,промисловість
Mykolaivs'ka oblast',Миколаївська,2010,22.8,промисловість
Mykolaivs'ka oblast',Миколаївська,2017,21.1,промисловість
Odes'ka oblast',Одеська,2010,14.8,промисловість
Odes'ka oblast',Одеська,2017,12.5,промисловість
Poltavs'ka oblast',Полтавська,2010,42.4,промисловість
Poltavs'ka oblast',Полтавська,2017,54.1,промисловість
Rivnens'ka oblast',Рівненська,2010,26.5,промисловість
Rivnens'ka oblast',Рівненська,2017,24.5,промисловість
Sums'ka oblast',Сумська,2010,31.8,промисловість
Sums'ka oblast',Сумська,2017,22.5,промисловість
Ternopil's'ka oblast',Тернопільська,2010,14.4,промисловість
Ternopil's'ka oblast',Тернопільська,2017,14.2,промисловість
Kharkivs'ka oblast',Харківська,2010,21.4,промисловість
